Name,Region,Scientific Name,Sun Exposure,Rating
Showy Stonecrop Sedum,7,Sedum spectabile,"sun, partial sun",10.00
Desert Willow,7,Chilopsis linearis,sun,10.00
Yellow Bells or Esperanza,7,Tecoma stans var. angustata,"sun, partial sun",10.00
White Sage,7,Artemisia ludoviciana,"sun, partial sun",10.00
Tree Yellow Bells,7,Tecoma stans var. stans,"sun, partial sun",10.00
Fragrant Sumac,7,Rhus aromatica,sun,10.00
Smooth Sumac,7,Rhus glabra,sun,10.00
Prairie Flameleaf Sumac,7,Rhus lanceolata,sun,10.00
Rosemary,7,Rosmarinus officinalis,sun,10.00
Texas Palmetto or Texas Sabal,7,Sabal mexicana,"sun, partial sun",10.00
Agarito,7,Berberis trifoliolata,"sun, partial sun",10.00
Hen-And-Chicks,7,Sempervivum tectorum,sun,10.00
Annual Fountain Grass or Crimson Fountaingrass,7,Pennisetum setaceum,"sun, partial sun",10.00
Century Plant,7,Agave americana,sun,10.00
Leyland Cypress,7,X Cupressocyparis leylandii,"sun, partial sun",10.00
Sago Palm,7,Cycas revoluta,"sun, partial sun",10.00
Sandpaper Tree,7,Ehretia anacua,"sun, partial sun",10.00
Barbados Cherry,7,Malpighia glabra,"sun, partial sun",10.00
Retama or Jerusalem Thorn,7,Parkinsonia aculeata,sun,10.00
Ocotillo,7,Fouquieria splendens,sun,10.00
"Texas Sage, Cenizo, or Texas Ranger",7,Leucophyllum frutescens,sun,10.00
Chaste Tree,7,Vitex agnus-castus,"sun, partial sun",10.00
Giant Turk's Cap,7,Malvaviscus arboreus var. mexicanus,"sun, partial sun",9.00
Lantana,7,Lantana spp.,sun,9.00
Canna,7,Canna x generalis,"sun, partial sun",9.00
Common Trumpetcreeper,7,Campsis radicans,"sun, partial sun",9.00
Chinese Trumpetcreeper,7,Campsis grandiflora,"sun, partial sun",9.00
Red Yucca,7,Hesperaloe parviflora,"sun, partial sun",9.00
Turk's Cap,7,Malvaviscus arboreus var. drummondii,"sun, partial sun, shade",9.00
Mexican Hat,7,Ratibida columnaris,"sun, partial sun",9.00
Pinyon Pine,7,Pinus cembroides,sun,9.00
Dwarf Pampas Grass,7,Cortaderia selloana,"sun, partial sun",9.00
Umbrella Sedge or Umbrella Palm,7,"Cyperus alternifolius (Cyperus flabelliformis, Cyperus involucratus)","sun, partial sun, shade",9.00
"Anacahuite, Texas Olive, or Mexican Olive",7,Cordia boissieri,"sun, partial sun",9.00
Honey Mesquite,7,Prosopis glandulosa,"sun, partial sun",9.00
Mexican Plum,7,Prunus mexicana,sun,9.00
Mediterranean Fan Palm,7,Chamaerops humilis,sun,9.00
Monterey Oak or Mexican White Oak,7,Quercus polymorpha,sun,9.00
Engelman's Prickly Pear,7,Opuntia engelmannii,sun,9.00
Perennial Fountain Grass,7,Pennisetum alopecuroides,"sun, partial sun",9.00
Pride-Of-Barbados,7,Caesalpinia pulcherrima,sun,9.00
Sweet Acacia,7,Acacia farnesiana,sun,9.00
Texas Mountain Laurel,7,Sophora secundiflora,"sun, partial sun",9.00
Chittamwood or Woollybucket Bumelia,7,Sideroxylon lanuginosum (Bumelia lanuginosa),"sun, partial sun",9.00
Mexican Buckeye,7,Ungnadia speciosa,"sun, partial sun",9.00
Fern Acacia,7,Acacia hirta,"sun, partial sun",9.00
Spanish Daggers or Yucca,7,Yucca spp.,sun,9.00
Mexican Fan Palm,7,Washingtonia robusta,"sun, partial sun",9.00
Mexican Zinnia,7,Zinnia angustifolia (Zinnia linearis),sun,9.00
Catclaw Acacia,7,Acacia greggii,sun,9.00
Canary Island Date Palm,7,Phoenix canariensis,sun,8.20
Creosote Bush,7,Larrea tridentata,sun,8.20
Narrowleaf Cattail,7,Typha angustifolia,"sun, partial sun, shade",8.20
Dwarf Cattail,7,Typha minima,"sun, partial sun",8.20
Water Lilies,7,Nymphaea spp.,"sun, partial sun",8.20
Black Willow,7,Salix nigra,sun,8.20
California Poppy,7,Eschscholzia californica,"sun, partial sun",8.01
Dusty Miller,7,Senecio cineraria,"sun, partial sun",8.01
Indian Paintbrush,7,Castilleja indivisa,"sun, partial sun",8.01
Japanese Loquat,7,Eriobotrya japonica,"sun, partial sun",8.00
Camphor Tree,7,Cinnamomum camphora,"sun, partial sun",8.00
Tulip Poplar or Tuliptree,7,Liriodendron tulipifera,"sun, partial sun",8.00
Thyrallis or Yellow Plumbago,7,Galphimia glauca (Thryrallis glauca),"sun, partial sun",8.00
Carolina Jessamine,7,Gelsemium sempervirens,"partial sun, shade",8.00
Purslane,7,Portulaca oleracea,"sun, partial sun",8.00
Texas Persimmon,7,Diospyros texana,sun,8.00
Shrub Morning Glory or Bush Morning Glory,7,Ipomoea carnea subsp. fistulosa (Ipomoea fistulosa),sun,8.00
Border Forsythia,7,Forsythia x intermedia,"sun, partial sun",8.00
Texas Pistachio,7,Pistacia mexicana (Pistacia texana),sun,8.00
Rockrose,7,Pavonia lasiopetala,"sun, partial sun",8.00
Texas Kidneywood,7,Eysenhardtia texana,"sun, partial sun",8.00
Chinese Silver Grass,7,Miscanthus sinensis,"sun, partial sun",8.00
Gazania,7,Gazania spp.,sun,8.00
Bougainvillea Goldenraintree or Chinese Flame Tree,7,Koelreuteria bipinnata,sun,8.00
Yellow Bird Of Paradise,7,Caesalpinia gilliesii,sun,8.00
"Fiddleleaf Morning Glory, Railroad Vine, or Goat-Foot Morning Glory",7,Ipomoea pes-caprae,sun,8.00
Palmetto Palm,7,Sabal palmetto,"sun, partial sun",8.00
Common Sunflower,7,Helianthus annuus,sun,8.00
Common Morning Glory,7,Ipomoea purpurea,sun,8.00
Cross Vine,7,Bignonia capreolata,"sun, partial sun",8.00
Zinnia or         Youth-And-Old-Age,7,Zinnia elegans,"sun, partial sun",8.00
Goldenball Leadtree,7,Leucaena retusa,"sun, partial sun",8.00
Crimson Bottlebrush,7,Callistemon citrinus (Callistemon lanceolatus),"sun, partial sun",8.00
Western Soapberry,7,Sapindus drummondii,sun,8.00
Japanese Flowering Quince,7,Chaenomeles japonica,"sun, partial sun",8.00
Thornless Common Honeylocust,7,Gleditsia triacanthos var. inermis,sun,8.00
Larkspur,7,Consolida ambigua,"sun, partial sun",7.21
Needle Palm,7,Rhapidophyllum hystrix,"sun, partial sun, shade",7.20
Sugar Hackberry or Southern Hackberry,7,Celtis laevigata,sun,7.20
Russell's Hybrid Lupines,7,Lupinus x polyphyllus,"sun, partial sun",7.20
Poppies,7,Papaver spp.,"sun, partial sun",7.01
Petunia,7,Petunia x hybrida,"sun, partial sun",7.01
Snapdragon,7,Antirrhinum majus,"sun, partial sun",7.01
Texas Bluebonnet,7,Lupinus texensis,"sun, partial sun",7.01
Pansy,7,Viola x wittrockiana,"sun, partial sun",7.01
Thorny Elaeagnus,7,Elaeagnus pungens,"sun, partial sun",7.00
Banana,7,Musa x paradisiaca,"sun, partial sun",7.00
Copper Plant,7,Acalypha wilkesiana,"sun, partial sun, shade",7.00
Common Mulberry,7,Morus alba,"sun, partial sun",7.00
Dawn Redwood,7,Metasequoia glyptostroboides,"sun, partial sun",7.00
Mandevilla,7,Mandevilla x amabilis,"sun, partial sun",7.00
Violet Silverleaf,7,Leucophyllum candidum,sun,7.00
Globe Amaranth or Bachelor's Button,7,Gomphrena globosa,"sun, partial sun",7.00
Shrimp Plant,7,Justicia brandegeana,"sun, partial sun, shade",7.00
Climbing Fig or Creeping Fig,7,Ficus pumila,"sun, partial sun, shade",7.00
Banyan Tree,7,Ficus benghalensis,sun,7.00
Shore Juniper,7,Juniperus conferta,sun,7.00
Pineapple Guava,7,Feijoa sellowiana (Acca sellowiana),"sun, partial sun",7.00
Weeping Fig,7,Ficus benjamina,"sun, partial sun, shade",7.00
Daylily,7,Hemerocallis spp.,"sun, partial sun",7.00
Dwarf Pomegranate,7,Punica granatum var. nana,"sun, partial sun",7.00
Beach Morning Glory,7,Ipomoea stolonifera,sun,7.00
Texas Ash,7,Fraxinus texensis,sun,7.00
Ice Plants,7,Delosperma spp.,"sun, partial sun",7.00
"Eucalyptus, Gum Tree, or Ironbarks",7,Eucalyptus spp.,sun,7.00
Split-Leaf Philodendron,7,Philodendron selloum,"partial sun, shade",7.00
Sweet Mock Orange,7,Philadelphus coronarius,"sun, partial sun",7.00
Pentas or Egyptian Star,7,Pentas lanceolata,"sun, partial sun",7.00
Plains Coreopsis or Tick-Seed,7,Coreopsis tinctoria,"sun, partial sun",7.00
Flame Acanthus,7,Anisacanthus quadrifidus var. wrightii,"sun, partial sun",7.00
Royal Paulownia or Empress Tree,7,Paulownia tomentosa,sun,7.00
Passionflowers,7,Passiflora spp.,"sun, partial sun",7.00
Bay Laurel,7,Laurus nobilis,"sun, partial sun",7.00
Southern Catalpa or Indian Bean Tree,7,Catalpa bignonioides,sun,7.00
Sotol or Desert Spoon,7,Dasylirion spp.,sun,7.00
Lacey Oak,7,Quercus laceyi (Quercus glaucoides),sun,7.00
Gold Dust Plant or Japanese Aucuba,7,Aucuba japonica,,7.00
Monkey Grass,7,Ophiopogon japonica,"partial sun, shade",7.00
Asian Jasmine,7,Trachelospermum asiaticum,"sun, partial sun, shade",7.00
Chinese Wisteria,7,Wisteria sinensis,"sun, partial sun",7.00
Vinca or Periwinkle,7,Catharanthus roseus,"sun, partial sun",7.00
Mexican Mint Merigold,7,Tagetes lucida,"sun, partial sun",7.00
Staghorn Sumac,7,Rhus typhina,sun,6.40
Johnny-Jump-Up,7,Viola tricolor,"sun, partial sun",6.21
Holly Fern,7,Cyrtomium falcatum,shade,6.20
Common Flowering Quince,7,Chaenomeles speciosa,"sun, partial sun",6.20
Tulips,7,Tulipa spp.,sun,6.01
Hardy Chrysanthemum,7,Chrysanthemum x morifolium (Dendranthema x morifolium),"sun, partial sun",6.01
Ornamental Cabbage and     Ornamental Kale,7,Brassica oleracea,"sun, partial sun",6.01
Crocus,7,Crocus spp.,"sun, partial sun",6.01
Columbine,7,Aquilegia x hybrida,"partial sun, shade",6.01
Salvias or Sages,7,Salvia spp.,"sun, partial sun",6.00
Honey Myrtles,7,Melaleuca spp.,"sun, partial sun",6.00
Cypress Vine or Cardinal Climber,7,Ipomoea quamoclit,sun,6.00
African Marigold or             American Marigold,7,Tagetes erecta,"sun, partial sun",6.00
Montezuma Cypress,7,Taxodium mucronatum (Taxodium distichum var. mexicanum),"sun, partial sun",6.00
Dwarf French Marigold,7,Tagetes patula,"sun, partial sun",6.00
Roses,7,Rosa spp.,"sun, partial sun",6.00
Yellow Flag,7,Iris pseudacorus,"sun, partial sun, shade",6.00
Yews,7,Taxus spp.,"sun, partial sun, shade",6.00
Live Oak,7,Quercus virginiana,sun,6.00
Olive,7,Olea europa,sun,6.00
Lacebark Elm,7,Ulmus parvifolia,sun,6.00
Common Oleander,7,Nerium oleander,"sun, partial sun",6.00
Verbena,7,Verbena spp.,"sun, partial sun",6.00
Chinese Pistachio,7,Pistachia chinensis,sun,6.00
Saucer Magnolia,7,Magnolia x soulangiana,"sun, partial sun",6.00
Cedar Elm,7,Ulmus crassifolia,sun,6.00
Japanese Pittosporum,7,Pittosporum tobira,"sun, partial sun",6.00
Escarpment Live Oak,7,Quercus fusiformis (Quercus virginiana var. fusiformis),sun,6.00
Pam's Pink American Honeysuckle,7,Lonicera x americana,sun,6.00
Japanese Honeysuckle,7,Lonicera japonica,"sun, partial sun",6.00
Windmill Palm,7,Trachycarpus fortunei,"sun, partial sun",6.00
Bur Oak,7,Quercus macrocarpa,sun,6.00
Glossy Abelia,7,Abelia x grandiflora,"sun, partial sun",6.00
Heavenly Bamboo or Nandina,7,Nandina domestica,"sun, partial sun, shade",6.00
Citrus,7,Citrus spp.,"sun, partial sun",6.00
Rose-Of-Sharon or Shrub Althea,7,Hibiscus syriacus,"sun, partial sun",6.00
Tropical Hibiscus,7,Hibiscus rosa-sinensis,"sun, partial sun",6.00
Cast Iron Plant,7,Aspidistra elatior,"partial sun, shade",6.00
Texas Redbud,7,Cercis canadensis var. texensis,sun,6.00
Mexican Heather,7,Cuphea hyssopifolia,"sun, partial sun",6.00
Gray Cotoneaster,7,Cotoneaster glaucophyllus,sun,6.00
American Smokebush or Texas Smokebush,7,Cotinus obovatus,sun,6.00
Blue Daze,7,Evolvulus nuttallianus,"sun, partial sun",6.00
Japanese Barberry,7,Berberis thunbergii,"sun, partial sun",6.00
Cotoneasters,7,Cotoneaster spp.,"sun, partial sun",6.00
Bougainvillea or Tissue-Paper Flower,7,Bougainvillea spectabilis,"sun, partial sun",6.00
"Bugleweed, Ajuga, or Carpetweed",7,Ajuga reptans,"partial sun, shade",6.00
Celosia or Cockscomb,7,Celosia cristata,"sun, partial sun",6.00
Chinese Parasol Tree,7,Firmiana simplex,"sun, partial sun",6.00
Chenille Plant,7,Acalypha hispida,"sun, partial sun",6.00
Coleus or Painted Nettle,7,Coleus x hybridus (Solenostemon scutellariodes),"sun, partial sun, shade",6.00
American Beautyberry,7,Callicarpa americana,"sun, partial sun",6.00
"Arizona Ash, Velvet Ash or Modesto Ash",7,Fraxinus velutina,sun,6.00
Texas Madrone,7,Arbutus xalapensis,"sun, partial sun",6.00
Giant Alocasia,7,Alocasia macrorrhiza,"partial sun, shade",6.00
Japanese Persimmon,7,Diospyros kaki,sun,6.00
Jelly Palm or Pindo Palm,7,Butia capitata (Cocos australis),sun,6.00
Kumquat,7,Fortunella margarita,"sun, partial sun",6.00
"Gladiola, Glads, or Sword Lily",7,Gladiolus x hortulanus,sun,6.00
Dutch Hyacinth,7,Hyacinthus orientalis,sun,5.21
Carnation,7,Dianthus caryophyllus,"sun, partial sun",5.21
"Daffodils, Jonquils, Paperwhites, or Narcissus",7,Narcissus spp.,sun,5.21
China Pinks,7,Dianthus chinensis,"sun, partial sun",5.21
Caladium,7,Caladium x hortulanum,shade,5.20
Common Fig,7,Ficus carica,sun,5.20
Hinckley's Columbine,7,Aquilegia chrysantha var. hinckleyana,"partial sun, shade",5.20
Creeping Juniper,7,Juniperus horizontalis,sun,5.20
Elephant's Ear,7,Colocasia esculenta,"sun, partial sun, shade",5.20
Weeping Willow,7,Salix alba,sun,5.20
Water Lotus,7,Nelumbo spp.,"sun, partial sun",5.20
Coral Honeysuckle,7,Lonicera sempervirens,"sun, partial sun",5.20
Lanceleaf Coreopsis,7,Coreopsis lanceolata,"sun, partial sun",5.20
Pecan,7,Carya illinoinensis,sun,5.20
Rocky Mountain Juniper,7,Juniperus scopulorum,sun,5.20
Eastern Redcedar,7,Juniperus virginiana,sun,5.20
Euryops Daisy,7,Euryops pectinatus,"sun, partial sun",5.20
Ginkgo or Maidenhair Tree,7,Ginkgo biloba,sun,5.20
Chinese Photinia,7,Photinia serratifolia   (Photinia serrulata),"sun, partial sun",5.20
German Iris or Bearded Iris,7,Iris x germanica,"sun, partial sun",5.20
Rose Moss or Moss Rose,7,Portulaca grandiflora,"sun, partial sun",5.20
Southern Magnolia,7,Magnolia grandiflora,"sun, partial sun",5.00
Star Magnolia,7,Magnolia stellata,"sun, partial sun",5.00
Southern Waxmyrtle,7,Myrica cerifera,"sun, partial sun",5.00
Common Persimmon,7,Diospyros virginiana,sun,5.00
Powis Castle Artemisia,7,Artemisia,sun,5.00
Mexican Elder,7,Sambucus mexicana,"sun, partial sun",5.00
Maki or Japanese Yew,7,Podocarpus macrophyllus var. maki,"sun, partial sun, shade",5.00
"Impatiens, Sultana, or Busy Lizzy",7,Impatiens wallerana,shade,5.00
Viburnums,7,Viburnum spp.,"sun, partial sun",5.00
New Guinea Hybrid Impatiens,7,Impatiens,shade,5.00
Periwinkle,7,Vinca minor,shade,5.00
Ornamental Sweet Potato,7,Ipomoea batatas,"sun, partial sun, shade",5.00
California Fan Palm or Petticoat Palm,7,Washingtonia filifera,sun,5.00
Southern Red Oak,7,Quercus falcata,sun,5.00
Common Smokebush,7,Cotinus coggygria,"sun, partial sun",5.00
Japanese Zelkova,7,Zelkova serrata,sun,5.00
Afghan Pine,7,Pinus eldarica,"sun, partial sun",5.00
Winged Elm,7,Ulmus alata,sun,5.00
Big Periwinkle,7,Vinca major,"partial sun, shade",5.00
Liriope or Lilyturf,7,Liriope muscari,"sun, partial sun, shade",5.00
Green Ash,7,Fraxinus pennsylvanica,sun,5.00
White Ash,7,Fraxinus americana,sun,5.00
Primrose Jasmine,7,Jasminum mesnyi,"sun, partial sun",5.00
Coconut Palm,7,Cocos nucifera,sun,4.40
Chisos Rosewood,7,Vauquelinia angustifolia,sun,4.40
Horsetail,7,Equisetum hyemale,"sun, partial sun, shade",4.40
Japanese Garden Juniper,7,Juniperus procumbens,sun,4.40
Red Tip Photinia,7,Photinia x fraseri,"sun, partial sun",4.40
Japanese Euonymus,7,Euonymus japonicus,"sun, partial sun",4.20
Northern Red Oak,7,Quercus rubra,sun,4.20
Fremont Cottonwood,7,Populus fremontii,sun,4.20
Sycamore or American Planetree,7,Platanus occidentalis,sun,4.20
Boxwoods,7,Buxus spp.,"sun, partial sun",4.20
Arizona Cypress,7,Cupressus arizonica,sun,4.20
Texas Red Oak,7,Quercus buckleyi (Quercus texana),sun,4.20
Eastern Cottonwood or Eastern Poplar,7,Populus deltoides,sun,4.20
Black Bamboo,7,Phyllostachys nigra,"sun, partial sun, shade",4.20
Post Oak,7,Quercus stellata,sun,4.20
Egyptian Papyrus,7,Cyperus papyrus,"sun, partial sun, shade",4.20
Evening Primrose,7,Oenothera speciosa,"sun, partial sun",4.20
Winged Euonymus or Burningbush,7,Euonymus alatus,"sun, partial sun",4.20
Sweetbay Magnolia,7,Magnolia virginiana,"sun, partial sun",4.20
Sugar Maple,7,Acer saccharum,"sun, partial sun",4.20
Chinese Fringe Flower or Chinese Witchhazel,7,Loropetalum chinense,"sun, partial sun",4.20
Winter Honeysuckle,7,Lonicera fragrantissima,"sun, partial sun",4.20
Red Buckeye,7,Aesculus pavia,"sun, partial sun, shade",4.20
Mimosa,7,Albizia julibrissin,sun,4.20
Gardenia,7,Gardenia augusta,"partial sun, shade",4.20
Red Gomphrena,7,Gomphrena haageana,"sun, partial sun",4.20
Mexican Ageratum or Flossflower,7,Ageratum houstonianum,"sun, partial sun",4.20
Yaupon,7,Ilex vomitoria,"sun, partial sun",4.20
Siberian Elm,7,Ulmus pumila,sun,4.20
American Elderberry,7,Sambucus canadensis,"sun, partial sun",4.20
Common Crapemyrtle,7,Lagerstroemia indica,sun,4.20
Copperbark Crapemyrtle,7,Lagerstroemia fauriei,sun,4.20
Groundsel Tree or Eastern Baccharis,7,Baccharis halimifolia,sun,4.20
Apache Plume,7,Fallugia paradoxa,"sun, partial sun",4.20
Panicled Goldenraintree,7,Koelreuteria paniculata,sun,4.20
English Ivy,7,Hedera helix,"sun, partial sun, shade",4.20
Wintercreeper Euonymus,7,Euonymus fortunei,"partial sun, shade",4.20
Bottlebrush Buckeye,7,Aesculus parviflora,"sun, partial sun, shade",4.20
Coralberry,7,Symphoricarpos orbiculatus,"sun, partial sun, shade",4.20
Possumhaw,7,Ilex decidua,"sun, partial sun, shade",4.20
Weigela,7,Weigela florida,"sun, partial sun",4.20
Foster's Holly,7,Ilex x attenuata,"sun, partial sun",4.20
Japanese Pagoda Tree,7,Sophora japonica,"sun, partial sun",4.20
Croton,7,Codiaeum variegatum,"partial sun, shade",4.00
Quaking Aspen,7,Populus tremuloides,sun,3.60
Willow Oak,7,Quercus phellos,sun,3.40
Pin Oak,7,Quercus palustris,sun,3.40
Sawtooth Oak,7,Quercus acutissima,sun,3.40
Water Oak,7,Quercus nigra,sun,3.40
White Oak,7,Quercus alba,sun,3.40
Silver Maple,7,Acer saccharinum,sun,3.40
Chinkapin Oak,7,Quercus muehlenbergii,sun,3.40
Tree-Of-Heaven,7,Ailanthus altissima,"sun, partial sun",3.40
Northern Catalpa,7,Catalpa speciosa,sun,3.40
"Hankow Willow, Dragon's Claw Willow, Globe Willow",7,Salix matsudana,sun,3.40
Pond Baldcypress,7,Taxodium ascendens (Taxodium distichum var. imbricarium),"sun, partial sun",3.40
Waxleaf Begonia,7,Begonia semperflorens-cultorum,"sun, partial sun, shade",3.40
Common Lilac,7,Syringa vulgaris,sun,3.40
Vanhoutte Spirea,7,Spiraea x vanhouttei,"sun, partial sun",3.40
Bumald Spirea,7,Spiraea x bumalda,"sun, partial sun",3.40
Common Sassafras,7,Sassafras albidum,"sun, partial sun",3.40
Eve's Necklace,7,Sophora affinis,"sun, partial sun, shade",3.40
Common Baldcypress,7,Taxodium distichum var. distichum,sun,3.40
Pussy Willow,7,Salix discolor,"sun, partial sun",3.40
Shumard Oak,7,Quercus shumardii,sun,3.40
Cork Oak,7,Quercus suber,sun,3.40
Indian Hawthorns,7,Raphiolepis spp.,"sun, partial sun",3.40
American Elm,7,Ulmus americana,sun,3.40
Witchhazels,7,Hamamelis spp.,"sun, partial sun",3.40
Black Locust,7,Robinia pseudoacacia,"sun, partial sun",3.40
Japanese Camellia,7,Camellia japonica,"partial sun, shade",3.40
Nellie R. Stevens Holly,7,Ilex,"sun, partial sun",3.40
Paper Birch,7,Betula papyrifera,sun,3.40
Osage Orange (Horse Apple),7,Maclura pomifera,"sun, partial sun",3.40
Tree Cholla,7,Opuntia imbricata,sun,3.40
Black Walnut,7,Juglans nigra,sun,3.40
Hostas or Plantain Lilies,7,Hosta spp.,"partial sun, shade",3.40
Italian Cypress,7,Cupressus sempervirens,sun,3.40
Hawthorn,7,Crataegus spp.,"sun, partial sun",3.40
Washington Hawthorn,7,Crataegus phaenopyrum,"sun, partial sun",3.40
Bigleaf Hydrangea,7,Hydrangea macrophylla,partial sun,3.40
Parsley Hawthorn,7,Crataegus marshallii,"sun, partial sun",3.40
American Beech,7,Fagus grandifolia,"sun, partial sun, shade",3.40
Golden Bamboo,7,Phyllostachys aurea,"sun, partial sun, shade",3.40
Oakleaf Hydrangea,7,Hydrangea quercifolia,"partial sun, shade",3.40
Norway Spruce,7,Picea abies,"sun, partial sun",3.40
Blue Colorado Spruce,7,Picea pungens f. glauca,sun,3.40
American Holly,7,Ilex opaca,"sun, partial sun",3.40
English Walnut,7,Juglans regia,sun,3.40
Ash Juniper,7,Juniperus ashei,sun,3.40
Japanese Blueberry Tree,7,Elaeocarpus decipiens,"sun, partial sun",3.40
Chinese Privet,7,Ligustrum sinense,"sun, partial sun, shade",3.40
Oregongrapeholly,7,Mahonia aquifolium,"partial sun, shade",3.40
Leatherleaf Mahonia,7,Mahonia bealei,shade,3.40
Flowering Crabapples,7,Malus spp.,sun,3.40
European Beech,7,Fagus sylvatica,"sun, partial sun, shade",3.40
"American Sweetgum, Red Gum, White Gum, Star-leaved Gum, Alligator Tree, Bilsted, Satin Walnut",7,Liquidambar styraciflua,sun,3.40
Quihoui Privet,7,Ligustrum quihoui,"sun, partial sun, shade",3.40
Japanese Ligustrum,7,Ligustrum lucidum,"sun, partial sun",3.40
Waxleaf Ligustrum,7,Ligustrum japonicum,"sun, partial sun",3.40
Kentucky Coffee Tree,7,Gymnocladus dioicus,sun,3.40
Chinese Juniper,7,Juniperus chinensis,sun,3.40
Northern Bayberry,7,Myrica pensylvanica,"sun, partial sun",3.40
Dwarf Waxmyrtle,7,Myrica pussilla,"sun, partial sun",3.40
Myrtle,7,Myrtus communis,"sun, partial sun",3.40
Slash Pine,7,Pinus elliottii,sun,3.40
Mugo Pine,7,Pinus mugo,"sun, partial sun",3.40
Rough-Leaf Dogwood,7,Cornus drummondii,"sun, partial sun",3.40
Chinese Holly,7,Ilex cornuta,"sun, partial sun",3.40
Japanese Black Pine,7,Pinus thunbergiana,sun,3.40
Peach or Nectarine,7,Prunus persica,sun,3.40
Loblolly Pine,7,Pinus taeda,sun,3.40
Purpleleaf Plum,7,Prunus cerasifera,"sun, partial sun",3.40
Cherry-Laurel,7,Prunus caroliniana,"sun, partial sun, shade",3.40
Eastern White Pine,7,Pinus strobus,sun,3.40
Austrian Pine,7,Pinus nigra,sun,3.40
Aleppo Pine,7,Pinus halepensis,sun,3.40
Bush Cinquefoil,7,Potentilla fruticosa,"sun, partial sun",3.40
Flowering Dogwood,7,Cornus florida,sun,3.40
Tea Olive or False Holly,7,Osmanthus spp.,"sun, partial sun",3.40
English Holly,7,Ilex aquifolium,"sun, partial sun",3.40
Russian Olive or Oleaster,7,Elaeagnus angustifolia,sun,3.40
Sasanqua Camellia,7,Camellia sasanqua,"sun, partial sun",3.40
Black Cherry,7,Prunus serotina,sun,2.80
Rhododendrons or Azaleas,7,Rhododendron spp.,"sun, partial sun, shade",2.80
Common Pear,7,Pyrus communis,sun,2.60
Canadian Hemlock,7,Tsuga canadensis,"sun, partial sun",2.60
Apple,7,Malus x domestica,sun,2.60
Callery Pear,7,Pyrus calleryana,sun,2.60
Formosa Firethorn,7,Pyracantha koidzumii,"sun, partial sun",2.60
Scarlet Firethorn,7,Pyracantha coccinea,"sun, partial sun",2.60
Colorado Fir,7,Abies concolor,"sun, partial sun",2.60
Lombardy Poplar,7,Populus nigra,sun,2.60
Flowering Maples,7,Abutilon spp.,"sun, partial sun, shade",2.60
Giant Sequoia,7,Sequoiadendron giganteum,"sun, partial sun",2.60
Chinese Chestnut,7,Castanea mollissima,sun,2.60
Deodar Cedar,7,Cedrus deodara,"sun, partial sun",2.60
Mexican Redbud,7,Cercis canadensis var. mexicana,sun,2.60
American Chestnut,7,Castanea dentata,"sun, partial sun, shade",2.60
European Horsechestnut,7,Aesculus hippocastanum,sun,2.60
Coast Redwood,7,Sequoia sempervirens,"sun, partial sun",2.60
Shagbark Hickory,7,Carya ovata,"sun, partial sun",2.60
London Planetree,7,Platanus x acerifolia,sun,2.60
Oriental Arborvitae,7,Platycladus orientalis,"sun, partial sun",2.60
River Birch,7,Betula nigra,sun,2.60
Japanese Cryptomeria,7,Cryptomeria japonica,"sun, partial sun",1.80
Japanese Maple,7,Acer palmatum,"partial sun, shade",1.80
Drummond Red Maple,7,Acer rubrum var. drummondii,sun,1.80
Common Douglasfir,7,Pseudotsuga menziesii,sun,1.00
Jacaranda,7,Jacaranda mimosifolia,"sun, partial sun",0.00
Flame-Of-The-Woods,7,Ixora coccinea,"sun, partial sun",0.00
Schefflera,7,Schefflera spp.,"sun, partial sun, shade",0.00
Fairy Duster,7,Calliandra eriophylla,"sun, partial sun",0.00
Sugarcane,7,Saccharum officinarum,"sun, partial sun",0.00
Papaya,7,Carica papaya,sun,0.00
Australian Pine,7,Casuarina equisetifolia,"sun, partial sun",0.00
Plumeria,7,Plumeria rubra,sun,0.00
Chinese Pistachio,7,Pistacia chinensis,"sun, partial sun",0.00
Eastern Redbud,7,Cercis canadensis var. canadensis,sun,0.00
Inland Sea Oats,7,Chasmanthium latifolium,"sun, partial sun, shade",0.00
Firecracker or Spicy Jatropha,7,Jatropha integerrima,"sun, partial sun",0.00
Little Bluestem,7,Schizachyrium scoparium,"sun, partial sun",0.00
Hedge Bamboo,7,Bambusa multiplex,"sun, partial sun",0.00
Date Palm,7,Phoenix dactylifera,"sun, partial sun",0.00
Variegated Tapioca,7,Manihot esculenta,"sun, partial sun",0.00
Poinsettia,7,Euphorbia pulcherrima,"sun, partial sun",0.00
Queen Palm,7,"Syagrus romanzoffiana (Cocos plumosa, Arecastrum romanzoffianum)","sun, partial sun",0.00
Caricature Plant,7,Graptophyllum pictum,"sun, partial sun, shade",0.00
Mexican Feathergrass,7,Stipa tenuissima (Nassella tenuissima),"sun, partial sun",0.00
Firebush,7,Hamelia patens,sun,0.00
Butterfly Ginger,7,Hedychium coronarium,"sun, partial sun",0.00
Muhly Grasses,7,Muhlenbergia spp.,"sun, partial sun",0.00
Sea Oats,7,Uniola paniculata,"sun, partial sun",0.00
"Golden Dewdrop, Brazilian Sky Flower",7,Duranta erecta (Duranta repens),"sun, partial sun",0.00
Variegated Shell Ginger,7,Alpinia zerumbet 'Variegata',"sun, partial sun, shade",0.00
