Name,Region,Scientific Name,Sun Exposure,Rating
Tree-Of-Heaven,0,Ailanthus altissima,"sun, partial sun",9.00
Firebush,0,Hamelia patens,sun,9.00
Deodar Cedar,0,Cedrus deodara,"sun, partial sun",9.00
Sugar Hackberry or Southern Hackberry,0,Celtis laevigata,sun,9.00
Retama or Jerusalem Thorn,0,Parkinsonia aculeata,sun,9.00
Thyrallis or Yellow Plumbago,0,Galphimia glauca (Thryrallis glauca),"sun, partial sun",9.00
Montezuma Cypress,0,Taxodium mucronatum (Taxodium distichum var. mexicanum),"sun, partial sun",9.00
Engelman's Prickly Pear,0,Opuntia engelmannii,sun,9.00
Monkey Grass,0,Ophiopogon japonica,"partial sun, shade",9.00
Japanese Honeysuckle,0,Lonicera japonica,"sun, partial sun",9.00
Globe Amaranth or Bachelor's Button,0,Gomphrena globosa,"sun, partial sun",9.00
Red Gomphrena,0,Gomphrena haageana,"sun, partial sun",9.00
Caricature Plant,0,Graptophyllum pictum,"sun, partial sun, shade",9.00
Kentucky Coffee Tree,0,Gymnocladus dioicus,sun,9.00
Dwarf Waxmyrtle,0,Myrica pussilla,"sun, partial sun",9.00
Sago Palm,0,Cycas revoluta,"sun, partial sun",9.00
"Fiddleleaf Morning Glory, Railroad Vine, or Goat-Foot Morning Glory",0,Ipomoea pes-caprae,sun,9.00
Staghorn Sumac,0,Rhus typhina,sun,9.00
Black Locust,0,Robinia pseudoacacia,"sun, partial sun",9.00
Lantana,0,Lantana spp.,sun,9.00
Rosemary,0,Rosmarinus officinalis,sun,9.00
Texas Palmetto or Texas Sabal,0,Sabal mexicana,"sun, partial sun",9.00
Waxleaf Ligustrum,0,Ligustrum japonicum,"sun, partial sun",9.00
Japanese Ligustrum,0,Ligustrum lucidum,"sun, partial sun",9.00
Quihoui Privet,0,Ligustrum quihoui,"sun, partial sun, shade",9.00
Chinese Privet,0,Ligustrum sinense,"sun, partial sun, shade",9.00
American Beautyberry,0,Callicarpa americana,"sun, partial sun",9.00
Rocky Mountain Juniper,0,Juniperus scopulorum,sun,9.00
Japanese Garden Juniper,0,Juniperus procumbens,sun,9.00
Southern Waxmyrtle,0,Myrica cerifera,"sun, partial sun",9.00
Beach Morning Glory,0,Ipomoea stolonifera,sun,9.00
Live Oak,0,Quercus virginiana,sun,9.00
German Iris or Bearded Iris,0,Iris x germanica,"sun, partial sun",9.00
Western Soapberry,0,Sapindus drummondii,sun,9.00
Mexican Elder,0,Sambucus mexicana,"sun, partial sun",9.00
Salvias or Sages,0,Salvia spp.,"sun, partial sun",9.00
Chinese Silver Grass,0,Miscanthus sinensis,"sun, partial sun",9.00
Chinese Juniper,0,Juniperus chinensis,sun,9.00
Texas Madrone,0,Arbutus xalapensis,"sun, partial sun",9.00
Creeping Juniper,0,Juniperus horizontalis,sun,9.00
Coral Honeysuckle,0,Lonicera sempervirens,"sun, partial sun",9.00
Umbrella Sedge or Umbrella Palm,0,"Cyperus alternifolius (Cyperus flabelliformis, Cyperus involucratus)","sun, partial sun, shade",9.00
American Smokebush or Texas Smokebush,0,Cotinus obovatus,sun,9.00
Pinyon Pine,0,Pinus cembroides,sun,9.00
Chinese Parasol Tree,0,Firmiana simplex,"sun, partial sun",9.00
Japanese Loquat,0,Eriobotrya japonica,"sun, partial sun",9.00
Rough-Leaf Dogwood,0,Cornus drummondii,"sun, partial sun",9.00
Cotoneasters,0,Cotoneaster spp.,"sun, partial sun",9.00
Sandpaper Tree,0,Ehretia anacua,"sun, partial sun",9.00
Afghan Pine,0,Pinus eldarica,"sun, partial sun",9.00
Southern Red Oak,0,Quercus falcata,sun,9.00
Mexican Fan Palm,0,Washingtonia robusta,"sun, partial sun",9.00
Texas Red Oak,0,Quercus buckleyi (Quercus texana),sun,9.00
Oriental Arborvitae,0,Platycladus orientalis,"sun, partial sun",9.00
Arizona Cypress,0,Cupressus arizonica,sun,9.00
Ice Plants,0,Delosperma spp.,"sun, partial sun",9.00
Italian Cypress,0,Cupressus sempervirens,sun,9.00
Parsley Hawthorn,0,Crataegus marshallii,"sun, partial sun",9.00
Rose Moss or Moss Rose,0,Portulaca grandiflora,"sun, partial sun",9.00
Wintercreeper Euonymus,0,Euonymus fortunei,"partial sun, shade",9.00
Glossy Abelia,0,Abelia x grandiflora,"sun, partial sun",9.00
Honey Mesquite,0,Prosopis glandulosa,"sun, partial sun",9.00
